FileName,LineNo,Code,FileHash,Status,Message
edk2\mdepkg\library\peiserviceslib\peiserviceslib.c,655,C6011,d37f2cb23c98e3b557afce415d86314b,New,"Dereferencing NULL pointer 'FvInfoPpi'. : Lines: 633, 634, 635, 636, 637, 638, 640, 641, 642, 653, 655"
edk2\mdepkg\library\peiserviceslib\peiserviceslib.c,690,C6011,d37f2cb23c98e3b557afce415d86314b,New,"Dereferencing NULL pointer 'FvInfoPpiDescriptor'. : Lines: 633, 634, 635, 636, 637, 638, 640, 641, 642, 653, 655, 656, 659, 662, 674, 675, 676, 681, 687, 690"
edk2\mdepkg\library\uefidevicepathlib\devicepathfromtext.c,3655,C6011,f018cc1e525bbd65dc5eec07038d5147,New,"Dereferencing NULL pointer 'DeviceNode'. : Lines: 3624, 3625, 3626, 3627, 3628, 3629, 3630, 3632, 3636, 3638, 3640, 3642, 3643, 3644, 3646, 3647, 3648, 3649, 3651, 3652, 3654, 3655"
edk2\mdepkg\library\uefidevicepathlib\devicepathfromtext.c,987,C6011,f018cc1e525bbd65dc5eec07038d5147,New,"Dereferencing NULL pointer 'AcpiAdr'. : Lines: 959, 960, 961, 962, 964, 971, 972, 973, 976, 987, 971, 972, 973, 976, 977, 978, 984, 987"
edk2\mdepkg\library\uefidevicepathlib\devicepathtotext.c,1803,C6387,a4e58c38da7d88989d2c4cf1d86aeb5a,New,"'UriStr' could be '0':  this does not adhere to the specification for the function 'CopyMem'. : Lines: 1791, 1792, 1793, 1798, 1799, 1800, 1803"
edk2\mdepkg\library\uefidevicepathlib\devicepathtotext.c,1804,C6011,a4e58c38da7d88989d2c4cf1d86aeb5a,New,"Dereferencing NULL pointer 'UriStr'. See line 1803 for an earlier location where this can occur: Lines: 1791, 1792, 1793, 1798, 1799, 1800, 1803, 1804"
edk2\mdepkg\library\uefidevicepathlib\devicepathtotext.c,51,C6011,a4e58c38da7d88989d2c4cf1d86aeb5a,New,"Dereferencing NULL pointer 'Str->Str'. : Lines: 34, 35, 37, 38, 39, 41, 42, 43, 50, 51"
edk2\mdepkg\library\uefidevicepathlib\devicepathtotext.c,975,C6011,a4e58c38da7d88989d2c4cf1d86aeb5a,New,"Dereferencing NULL pointer 'NewStr'. : Lines: 960, 961, 962, 963, 965, 967, 968, 969, 973, 975"
edk2\mdepkg\library\uefilib\acpi.c,68,C6011,bf1357a1257e6452f910d40a854a7527,New,"Dereferencing NULL pointer 'PreviousTableLocated'. : Lines: 40, 41, 42, 43, 44, 46, 53, 57, 59, 60, 61, 62, 63, 64, 65, 66, 68"
edk2\mdepkg\library\uefilib\console.c,482,C6387,027e7425af764127d5e9304142abb589,New,"'Line' could be '0':  this does not adhere to the specification for the function 'SetMem16'. : Lines: 397, 398, 399, 400, 401, 402, 403, 404, 405, 406, 407, 408, 409, 410, 411, 417, 418, 419, 420, 424, 439, 444, 449, 454, 455, 460, 465, 470, 471, 476, 482"
edk2\mdepkg\library\uefilib\console.c,483,C6011,027e7425af764127d5e9304142abb589,New,"Dereferencing NULL pointer 'Line'. See line 482 for an earlier location where this can occur: Lines: 397, 398, 399, 400, 401, 402, 403, 404, 405, 406, 407, 408, 409, 410, 411, 417, 418, 419, 420, 424, 439, 444, 449, 454, 455, 460, 465, 470, 471, 476, 482, 483"
EDK2\MdePkg\Library\UefiLib\UefiLib.c,1377,C4996,9c6be9094d8dfb929d968470655cc6c2,New,'GetVariable': was declared deprecated
edk2\mdepkg\library\uefilib\uefilibprint.c,423,C6011,854fed2c7fdee9e0666d833a8e86d47f,New,"Dereferencing NULL pointer 'Blt'. : Lines: 344, 345, 346, 347, 348, 349, 350, 351, 352, 353, 354, 355, 356, 357, 358, 359, 360, 362, 363, 364, 365, 367, 371, 377, 378, 390, 394, 400, 404, 405, 406, 415, 416, 420, 423"
edk2\mdepkg\library\uefiruntimelib\runtimelib.c,622,C28182,561fc484e3f49e1e67c4a327f2ceee42,New,"Dereferencing NULL pointer. 'Link' contains the same NULL value as 'Link->ForwardLink' did. : Lines: 607, 608, 613, 620, 622, 624, 629, 634, 635, 622"
edk2\mdepkg\override\library\baselib\safestring.c,1483,C6305,e231a62ad267f87bb81d220ac20f609b,New,"Potential mismatch between sizeof and countof quantities. Use sizeof() to scale byte sizes.: Lines: 1462, 1463, 1469, 1470, 1475, 1476, 1482, 1483"
